location,date,ave_temperature,max_temperature
708,2013-05-22,20.5,30.7
708,2013-05-23,22.4,32.2
708,2013-05-24,22.4,33.2
708,2013-05-25,22.7,32.2
708,2013-05-26,21.9,28
708,2013-05-27,19.6,22.9
708,2013-05-28,20.3,23.2
708,2013-05-29,17.9,20.5
708,2013-05-30,19.4,27.4
708,2013-05-31,19.1,26
708,2013-06-01,19.4,23.7
708,2013-06-02,20.4,29
708,2013-06-03,21.8,29.9
708,2013-06-04,22.9,31.4
708,2013-06-05,23.4,31.4
708,2013-06-06,24.5,31.9
708,2013-06-07,24,31.7
708,2013-06-08,23.1,27.8
708,2013-06-09,24.1,33.3
708,2013-06-10,24.2,29.2
708,2013-06-11,22.7,28.4
708,2013-06-12,21.2,24.2
708,2013-06-13,22.8,27.1
708,2013-06-14,21.8,24
708,2013-06-15,23.9,30.3
708,2013-06-16,23.4,32.1
708,2013-06-17,24.2,30.1
708,2013-06-18,24,26.9
708,2013-06-19,24.3,28.9
708,2013-06-20,25.5,32
708,2013-06-21,25.3,33.3
708,2013-06-22,24.4,30.5
708,2013-06-23,21.4,24.7
708,2013-06-24,22.9,29.4
708,2013-06-25,21.4,25.1
708,2013-06-26,23.7,30.7
708,2013-06-27,23.5,28.9
708,2013-06-28,24.4,31
708,2013-06-29,25,32
708,2013-06-30,26,33
708,2013-07-01,25.9,32
708,2013-07-02,27.1,30.8
708,2013-07-03,24.8,27
708,2013-07-04,24.5,27.6
708,2013-07-05,23.7,25.1
708,2013-07-06,25,29.4
708,2013-07-07,24.2,25.5
708,2013-07-08,26.4,29
708,2013-07-09,26.6,31.2
708,2013-07-10,27.1,31.1
708,2013-07-11,27.3,32.2
708,2013-07-12,26.6,31.6
708,2013-07-13,28,33.6
708,2013-07-14,27.7,31.7
708,2013-07-15,27.7,32.8
708,2013-07-16,27.7,32.2
708,2013-07-17,26.7,30.2
708,2013-07-18,26.3,32.5
708,2013-07-19,27.1,32.9
708,2013-07-20,27.7,33.1
708,2013-07-21,26.8,31.4
708,2013-07-22,28,32.6
708,2013-07-23,26.5,29.3
708,2013-07-24,26,29.7
708,2013-07-25,25.7,31.5
708,2013-07-26,27,32.7
708,2013-07-27,27,32.1
708,2013-07-28,28.3,32.8
708,2013-07-29,26.4,28.8
708,2013-07-30,28.3,33.2
708,2013-07-31,27.7,31.7
708,2013-08-01,28.7,33.5
708,2013-08-02,28.3,32.1
708,2013-08-03,28,31.6
708,2013-08-04,28.1,33
708,2013-08-05,27.2,31.3
708,2013-08-06,28.7,34.5
708,2013-08-07,29.5,35.3
708,2013-08-08,29.1,35.4
708,2013-08-09,29.7,35.4
708,2013-08-10,29.8,35.5
708,2013-08-11,29.2,36.1
708,2013-08-12,28.3,34.7
708,2013-08-13,27.2,34.7
708,2013-08-14,27.8,35.1
708,2013-08-15,28.5,34.9
708,2013-08-16,28.2,35.1
708,2013-08-17,28.2,34.3
708,2013-08-18,28.6,36.2
708,2013-08-19,29.1,36.4
708,2013-08-20,28.9,36.3
708,2013-08-21,29,36.5
708,2013-08-22,29,35.5
708,2013-08-23,25.8,27.5
708,2013-08-24,25.1,26.6
708,2013-08-25,26.1,31.8
708,2013-08-26,25.4,31.4
708,2013-08-27,24.5,32.5
708,2013-08-28,25.2,31.6
708,2013-08-29,25.3,32.1
708,2013-08-30,24.4,29.1
708,2013-08-31,23.7,29.2
708,2013-09-01,23.9,30.5
708,2013-09-02,23.1,29.6
